Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
C02,21421,21381,2279,2239,1409.25431040817,6.7184258721745,0.868968867426999,0.926575144853622,0.996978081999661
C03,16243,16208,2486,2451,1665.41148368508,6.98145641555582,0.892948606383981,0.941172655588072,0.997693274633879
C04,19992,19963,2102,2073,1335.7094480009,6.61586405402727,0.864745971342338,0.919225204880699,0.996674329996104
C05,5637,5611,1406,1380,1378.59313850828,6.72034540640582,0.927135494345931,0.929660238909255,0.997718544592894
C06,21522,21484,2407,2369,1481.62424995878,6.76068196883803,0.868297392790484,0.926007384132985,0.996926954221008
C07,22593,22559,2277,2243,1365.42205866836,6.61519981639317,0.85571466378498,0.916331800488389,0.996498130589925
C08,22394,22351,2804,2761,1649.333227819,6.98294469775199,0.879596755212703,0.942606043517796,0.997722025993691
C09,24648,24575,3067,2994,1683.93382712287,6.90892586938288,0.860554830058034,0.930008093181544,0.995166484840076
C10,17292,17253,2520,2481,1613.07455914066,6.90955941405669,0.882219982601047,0.935507106654097,0.997380644625852
C11,17379,17338,2299,2258,1525.52515012081,6.89257307097437,0.890486909842025,0.940311690397052,0.997725842411606
C12,19095,19063,2488,2456,1552.32979431488,6.74231848291341,0.862273477371667,0.917632842624965,0.995625524477227
C13,5928,5913,1334,1319,1289.36810578427,6.57386026663883,0.913551641675255,0.917892367752385,0.997161734789585
C14,22076,22041,2080,2045,1277.805389904,6.46913447234887,0.846731698707237,0.904407312220987,0.995780262757318
C15,22708,22668,2625,2585,1554.07176425824,6.86722080289366,0.872267712705354,0.934489467525739,0.997100687410756
C16,18041,17977,2618,2554,1672.22542218303,7.01846883108646,0.891781555665238,0.945641789999404,0.997976718409764
C17,168135,167990,5385,5240,1553.30816701335,6.94035703376485,0.807828663160757,0.944504993246017,0.997094107045929
C18,66801,66654,4929,4782,1820.41129871166,7.1911590889443,0.84573102783288,0.957950403924605,0.997290410422541
C19,79181,78997,4938,4754,1745.29559067681,7.13228829451486,0.838627482839108,0.955471506648908,0.997522455852325
C20,63193,63097,3497,3401,1421.84375364503,6.69828402579363,0.820902270528016,0.922665544243304,0.996312202626178
C21,65529,65334,4944,4749,1822.76500551574,7.21926511211568,0.848733191179294,0.961528966113412,0.997750181912711
