sampleID,project,turfID,rep,day,dna.rna,pairedSampleID,bottleID,site,temperature,precipitation,precip.level,temp.level,turf.treat,turf.treat.group,turf.origSite,origSite.precipLevel,origSite.tempLevel,exp.moisture.level,exp.temp,colour,transcol
E14,ST,NA,A,35,DNA,NA,SM20_1,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,2,20,6,NA
E15,ST,NA,A,35,DNA,NA,UL20_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
E16,LT,NA,A,35,DNA,NA,LH20_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,3,20,4,NA
E17,LT,NA,A,35,DNA,NA,LL20_1,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,1,20,4,NA
E18,LT,NA,A,35,DNA,NA,GM20_1,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,20,8,NA
E19,ST,NA,B,35,DNA,NA,UH20_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,3,20,5,NA
E20,ST,NA,B,35,DNA,NA,SM20_2,Skjellingahaugen,6.576240022,2724.854344,NA,NA,NA,NA,NA,4,1,2,20,6,NA
E21,ST,NA,B,35,DNA,NA,UL20_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,1,20,5,NA
E22,LT,NA,B,35,DNA,NA,LH20_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,3,20,4,NA
E23,LT,NA,B,35,DNA,NA,LL20_2,Lavisdalen,6.454522029,1320.501902,NA,NA,NA,NA,NA,2,1,1,20,4,NA
E24,LT,NA,B,35,DNA,NA,GM20_2,Gudmedalen,5.866376294,1924.597184,NA,NA,NA,NA,NA,3,1,2,20,8,NA
F01,ST,NA,A,35,DNA,NA,UM10_1,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,2,10,5,NA
F02,ST,NA,B,35,DNA,NA,UM10_2,Ulvhaugen,6.16847806,596.3477788,NA,NA,NA,NA,NA,1,1,2,10,5,NA
