Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
C15,22708,22691,2625,2608,1260.06628908654,6.86722080289366,0.872267712705354,0.961941187051106,0.997100687410756
C16,18041,18009,2618,2586,1352.98708494897,7.01846883108646,0.891781555665238,0.973425882224359,0.997976718409764
C17,168135,168079,5385,5329,1241.74251356982,6.94035703376485,0.807828663160757,0.974184882466632,0.997094107045929
C18,66801,66744,4929,4872,1434.20775298005,7.1911590889443,0.84573102783288,0.989377422899502,0.997290410422541
C19,79181,79100,4938,4857,1377.65040736985,7.13228829451486,0.838627482839108,0.986739811463352,0.997522455852325
C20,63193,63164,3497,3468,1142.25630943226,6.69828402579363,0.820902270528016,0.951357987034301,0.996312202626178
C21,65529,65457,4944,4872,1436.54193062699,7.21926511211568,0.848733191179294,0.993022146256977,0.997750181912711
D01,28475,28460,3012,2997,1226.80476197371,6.67394173654157,0.83316381274234,0.938383548030042,0.994292500314109
D02,21011,20999,2751,2739,1275.97667595756,6.76774243252957,0.85454317031787,0.946343212900631,0.995657124566753
D03,22419,22413,2803,2797,1282.94779207138,6.76388967482206,0.852042081945074,0.945084444903172,0.995502524861341
D04,24909,24898,3117,3106,1326.33564099988,6.8427271217605,0.850596023207482,0.951677375413269,0.995539195648192
D05,3493,3491,963,961,963,6.35977308816394,0.925723965586953,0.925723965586953,0.996308760009078
D06,18162,18144,2692,2674,1349.97214042892,6.91446533262521,0.875466014777119,0.959297940432581,0.996620627132181
D07,20144,20103,3279,3238,1459.66111799036,7.07141078250998,0.873521205955078,0.970553117674672,0.996896116823052
D08,26088,26046,3823,3781,1515.62176666742,7.16974449281313,0.869187342033619,0.978994354384724,0.996900357937436
E01,21008,21002,1787,1781,893.209290472087,6.120769644882,0.81737843642093,0.90079925811483,0.993198742987838
E02,19748,19727,3085,3064,1472.52101678078,7.17680452588201,0.893269896550882,0.983833994789614,0.998120766667095
E03,18578,18571,2551,2544,1289.47429665264,6.84166372807311,0.872189415637133,0.955274139022216,0.996916556834605
E04,18501,18492,2627,2618,1327.05689221721,6.9641840271253,0.884498321243742,0.968496212680399,0.997476535779984
E05,5568,5564,1083,1079,934.140474820119,6.24472917517725,0.89370130825692,0.913021913623454,0.995298010903851
E06,25896,25890,2017,2011,908.449274477699,5.9950831796448,0.787855749850182,0.880110517146616,0.989231011520238
E07,18021,18009,1942,1930,1031.95622176882,6.41316588512221,0.847016866537626,0.924192303779032,0.995536713619792
E08,19896,19875,3087,3066,1497.6420545882,7.21925522072811,0.898481098987285,0.987363727548031,0.99815721486349
E09,29597,29590,3082,3075,1265.64336299229,6.83903370354909,0.851331923959577,0.957400553233304,0.996451660480776
E10,20376,20368,2849,2841,1372.6586423141,7.03064114575091,0.883832265449202,0.973165827421489,0.997468677400404
E11,19527,19521,1987,1981,1049.38985106737,6.47631522902402,0.852777207540859,0.931044936605281,0.995525338804122
E12,24091,24087,1978,1974,909.357091469954,6.02062629874212,0.793247960326741,0.883730803264601,0.990094989770955
E13,6325,6323,1118,1116,922.622084145176,6.22113016304302,0.886289676865333,0.911224543723259,0.994806455342217
E14,22066,22062,1936,1932,934.969881360106,6.12562389800087,0.809370630252774,0.895491715204185,0.993264995435815
E15,19542,19524,2912,2894,1394.01942777314,7.03300951156339,0.881705684025156,0.971417328074021,0.997402517444799
E16,27346,27331,3322,3307,1414.36819904588,7.14614165497694,0.881334189643349,0.985071683038236,0.998090276941068
E17,31077,31063,3113,3099,1237.14472502854,6.76700145431089,0.841317118048126,0.950346624369045,0.995655806386094
E18,22446,22440,2033,2027,966.640421846694,6.21801247203246,0.816304825321695,0.904592573331106,0.992698363089145
E19,18347,18345,1945,1943,1015.65260905974,6.19526004831274,0.818070240545317,0.894843787639747,0.991091240489592
E20,21240,21239,1935,1934,940.749263220659,6.14064295899189,0.811410470713149,0.89687935858911,0.993458399388568
E21,6220,6216,1422,1418,1159.89914904145,6.65280907078255,0.916387655319405,0.942846624130278,0.997231935153689
E22,21264,21241,2911,2888,1375.32483403788,6.93879731063028,0.869932063275804,0.960195102080686,0.996013067971755
E23,20751,20736,2683,2668,1270.40819591319,6.83519750444745,0.865796727693136,0.956360437198918,0.996597581544534
E24,19711,19706,1795,1790,903.48097008175,5.97867640252149,0.797927087269227,0.878409104700668,0.989033896869271
F01,36468,36454,2465,2451,939.310575482971,6.07943711659329,0.778422318266414,0.888138391851295,0.988522850163696
F02,26758,26753,2386,2381,1045.47023439451,6.3651856105359,0.818423536752901,0.915561322172648,0.993811021788829
F03,21182,21176,2344,2338,1151.91562931188,6.64641773806291,0.856539720788306,0.942863741507393,0.996290245454992
F04,24203,24196,2414,2407,1125.54446347547,6.61903486044194,0.849788230528813,0.942074292523934,0.996188478360846
F05,5696,5692,1423,1419,1194.71470817031,6.65656598974856,0.916816372350362,0.939441555931367,0.996965641175357
F06,23141,23126,2972,2957,1368.86613355586,7.03025352620365,0.879112412223441,0.973484982530481,0.997545918641368
F07,29577,29565,2612,2600,1073.60982500077,6.41286947288664,0.815070439408462,0.918909567396983,0.994362234753033
F08,28752,28743,2580,2571,1081.51561449057,6.41483212826617,0.816599280034677,0.918225472433785,0.994274768604324
F09,62470,62443,4354,4327,1245.58684382176,6.83236397586697,0.815429776007512,0.958610481681582,0.996251363836969
F10,25408,25398,3181,3171,1337.44473776837,6.93826427306888,0.860298390677999,0.963846453700494,0.99686685397586
F11,26632,26622,3169,3159,1332.81277401815,6.95091037102463,0.862270513908433,0.96606881239481,0.997099204709589
F12,23983,23965,3012,2994,1342.14203197034,6.97659300849069,0.870946295362441,0.968699188248462,0.997358045014335
F13,4310,4308,1135,1133,1061.39209142072,6.49118142689043,0.922778426717845,0.931658936777222,0.996761968335657
F14,19147,19132,2671,2656,1315.68857557856,6.88909313825148,0.873119308411269,0.959201115129224,0.996878370846907
F15,22623,22611,3002,2990,1332.97244546336,6.92293313309568,0.864606435111076,0.96216439047441,0.996702480315319
F16,34213,34189,3699,3675,1384.99918234135,7.03693110860608,0.856510123143391,0.972831278508811,0.996829698512246
F17,23787,23773,2389,2375,1094.02426412612,6.5350335010817,0.840126523219305,0.933893983607173,0.995655436265434
F18,19929,19927,2160,2158,1079.76135212946,6.53691983654035,0.85139828755264,0.935918707357566,0.996056286837189
F19,27400,27380,2995,2975,1239.4654827478,6.7228629182097,0.839864495768955,0.943899444934757,0.995579953646971
F20,35640,35618,3669,3647,1322.14597336124,6.89891224510661,0.840544091836162,0.959913909908427,0.996203413987739
F21,38327,38314,2672,2659,986.788953432507,6.20158928922304,0.785948218903332,0.899503763325719,0.991182900526145
F22,31337,31329,2351,2343,931.870148941126,6.00946778708705,0.774156963663885,0.878937798796268,0.98924910425003
F23,29190,29178,2398,2386,991.179425715731,6.20305254660129,0.797062634886849,0.899137040244445,0.991256563975072
F24,33938,33928,2531,2521,982.30142095963,6.12921191038478,0.782149400509965,0.88959397164111,0.988485117229628
G01,26438,26400,3838,3800,1530.20176847762,7.16367096217867,0.868038965024513,0.976887994172136,0.996779007762194
G02,14463,14455,2749,2741,1456.42034228201,7.03977961017828,0.888974149261925,0.966506577951596,0.997338123427093
G03,26786,26750,3673,3637,1447.3036352364,7.03135593069933,0.856566943750816,0.966183023364325,0.996084423756739
G04,28514,28496,3989,3971,1509.14423607579,7.17929616324582,0.865883486909463,0.980872226529598,0.997123314446171
G05,29131,29105,3876,3850,1513.06056131155,7.18782475486223,0.869927195477938,0.981689838254228,0.99718320728894
G06,17000,16986,3039,3025,1491.19399166518,7.09966889462258,0.885324559893181,0.971581487152881,0.997150823529412
G07,26123,26105,3643,3625,1484.27482904382,7.12672339265508,0.869052962469209,0.975904986920607,0.99706582598831
G08,25582,25561,3619,3598,1498.67549798569,7.13224512936294,0.870427876368391,0.975371503472044,0.996917321781221
G09,25567,25552,3142,3127,1338.58478810206,6.90947741097777,0.858041464349348,0.959733856184175,0.99650807624562
G10,24610,24600,3065,3055,1328.15780112093,6.86884864082038,0.855632452684708,0.955127949975362,0.996264003707739
G11,27146,27136,3105,3095,1276.69409394144,6.80490555289332,0.846300342375219,0.951465002385481,0.99596662157883
