Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson
R32,14696,14681,2812,2797,1512.91197627275,7.16732648320811,0.902498265781098,0.978903380422517,0.997898416805228
R33,17155,17143,2991,2979,1487.45259381707,7.14247969504777,0.89243479806231,0.977776240041102,0.997794821012761
R34,18173,18127,3432,3386,1577.24555610556,7.27342529443268,0.893442576347967,0.987776087135151,0.998073702569606
R35,19717,19695,3318,3296,1518.29153294218,7.20332564982919,0.888518721459016,0.983343391039851,0.997903743148901
R36,17202,17188,3060,3046,1482.21502881013,7.13094574047173,0.888461815195701,0.976668906300137,0.997658461016929
R37,18172,18150,2777,2755,1352.99491548788,6.80397039751921,0.858098355274218,0.943675284421319,0.995257451130148
R38,19616,19594,2795,2773,1290.69872356554,6.67763389798832,0.841479473859076,0.932247768811742,0.993592920035314
R39,7742,7735,1546,1539,1128.09343223378,6.31871316523527,0.860458451962814,0.899040638187548,0.991882454841594
R40,15413,15394,2397,2378,1260.37765481659,6.62542617431972,0.851381259576033,0.928039149425769,0.99412662208264
R41,17165,17153,2488,2476,1258.35663536148,6.64347948975878,0.849632982482062,0.930777146482605,0.994302997525177
R42,18627,18597,2642,2612,1248.32702101025,6.64021626623019,0.842742812447286,0.931364163387392,0.994644035251162
R43,23064,23051,3011,2998,1330.50781781081,6.86585879120867,0.857157951929045,0.954477576604071,0.996303962708422
R44,22635,22620,2936,2921,1291.28914207808,6.79633933627709,0.851159258976212,0.948759362187743,0.996107689332673
R45,25264,25246,3045,3027,1308.45645484505,6.82901441802765,0.851364707055779,0.951566360398661,0.996075282884807
R46,24033,24030,2740,2737,1247.08854761832,6.76283152796498,0.854355300352831,0.948694397318767,0.996167163865271
R47,9295,9291,1643,1639,1140.02150536034,6.53493174089257,0.882588518978585,0.928415284925305,0.995888434815898
R48,22204,22193,2579,2568,1232.33065995754,6.72799020362165,0.856506139671586,0.945385593705737,0.996078119853632
R49,17247,17223,2801,2777,1366.03417919404,6.84132892159453,0.86187453989277,0.94759617910514,0.995704359386204
R50,15831,15815,2690,2674,1365.60743320247,6.85976089373178,0.868621422221589,0.950190323082167,0.99632072884874
R51,25211,25192,3449,3430,1384.35632298389,6.88841065761686,0.845635439062293,0.952359967667446,0.995690008473185
R52,20767,20752,3246,3231,1426.93742442533,7.01647366862735,0.867819239036404,0.966019222605009,0.997023474638081
R53,17642,17630,2792,2780,1380.55385972484,6.92089009572782,0.872251351923664,0.957214428899281,0.996649179249244
R54,23521,23492,3385,3356,1417.50056293712,6.98190945224669,0.85908891993668,0.962139421895049,0.996502602939341
R55,10360,10351,2259,2250,1457.86850928501,7.074134461615,0.91602095860276,0.97109072809635,0.998094915102637
R56,16929,16918,3099,3088,1557.27151956308,7.24885945865807,0.901730123465422,0.986146732237306,0.99815596817627
R57,14974,14962,2122,2110,1162.2578362443,6.51390451065612,0.850366487919281,0.922895146668223,0.994853739536491
R59,22479,22474,2793,2788,1240.9340451766,6.6402467999082,0.836843639461886,0.932145052377457,0.99448073427731
R60,21140,21120,2845,2825,1289.97743863313,6.7755028309777,0.851908918484057,0.945984829571507,0.995632871454797
R61,18511,18494,2372,2355,1192.56491705346,6.60416699206286,0.849794318169086,0.932283450738339,0.995081850349172
R62,27832,27815,2903,2886,1164.94575804557,6.53216032261279,0.819233755826804,0.92517884926933,0.993942265055037
R63,8106,8101,1515,1510,1108.86347341956,6.43716987799785,0.879014039946561,0.918140984843965,0.995386779014719
R64,18657,18654,2261,2258,1163.59792680972,6.56442132370281,0.849921438101181,0.929900588749866,0.994934978976849
R65,16662,16652,2430,2420,1270.82551057061,6.71019645778065,0.860762019738223,0.938827521271013,0.995779905878147
R66,24065,24041,2946,2922,1256.3178456433,6.71380416419582,0.840464828249775,0.94084364633902,0.99527085056751
R67,26179,26172,2543,2536,1117.58676909492,6.48935634459603,0.827607929848432,0.924551056461468,0.994005245930173
R68,24903,24883,2992,2972,1249.32613426103,6.6856449926348,0.835319566618106,0.937630831383973,0.994977122083783
R69,27471,27470,2384,2383,1118.6867183098,6.55869677717568,0.843395773748124,0.934299174780931,0.995451196673372
R70,26062,26043,2867,2848,1189.3292793368,6.55288130559809,0.823120667828895,0.925398575232166,0.993893445275191
R71,6582,6579,1123,1120,891.613481391867,5.81857919037748,0.82841384903337,0.856551032304814,0.986504311224751
R72,14221,14219,2160,2158,1226.39385081477,6.68114589560545,0.870182948031739,0.939440732236042,0.996126111364645
